Date,Close
1/7/2015,40.4
1/8/2015,41.13
1/9/2015,41.25
1/12/2015,40.87
1/13/2015,40.75
1/14/2015,40.27
1/15/2015,40.26
1/16/2015,40.02
1/20/2015,39.56
1/21/2015,40.29
1/22/2015,40.69
1/23/2015,40.98
1/26/2015,40.93
1/27/2015,40.7
1/28/2015,40.1
1/29/2015,39.9
1/30/2015,39.17
2/2/2015,38.43
2/3/2015,39.54
2/4/2015,39.86
2/5/2015,39.87
2/6/2015,40.25
2/9/2015,40.1
2/10/2015,39.8
2/11/2015,38.92
2/12/2015,39.66
2/13/2015,39.54
2/17/2015,39.57
2/18/2015,39.91
2/19/2015,38.56
2/20/2015,39.66
2/23/2015,39.6
2/24/2015,39.54
2/25/2015,39.47
2/26/2015,39.14
2/27/2015,38.99
3/2/2015,38.97
3/3/2015,38.9
3/4/2015,38.81
3/5/2015,39.12
3/6/2015,38.65
3/9/2015,38.94
3/10/2015,38.45
3/11/2015,38.4
3/12/2015,38.8
3/13/2015,38.57
3/16/2015,38.71
3/17/2015,38.54
3/18/2015,38.55
3/19/2015,38.2
3/20/2015,38.62
3/23/2015,38.66
3/24/2015,38.24
3/25/2015,38
3/26/2015,37.88
3/27/2015,38.16
3/30/2015,38.26
3/31/2015,37.73
4/1/2015,37.53
4/2/2015,37.64
4/6/2015,37.83
4/7/2015,37.97
4/8/2015,38.15
4/9/2015,38.17
4/10/2015,38.17
4/13/2015,37.61
4/14/2015,37.8
4/15/2015,37.66
4/16/2015,37.32
4/17/2015,37.33
4/20/2015,37.3
4/21/2015,37.6
4/22/2015,37.63
4/23/2015,37.95
4/24/2015,37.93
4/27/2015,37.77
4/28/2015,37.72
4/29/2015,37.43
4/30/2015,37.03
5/1/2015,37.16
5/4/2015,36.67
5/5/2015,36.12
5/6/2015,35.97
5/7/2015,36.37
5/8/2015,36.61
5/11/2015,36.49
5/12/2015,36.61
5/13/2015,36.85
5/14/2015,37.43
5/15/2015,37.27
5/18/2015,37.49
5/19/2015,38.3
5/20/2015,38.07
5/21/2015,38.1
5/22/2015,37.67
5/26/2015,37.48
5/27/2015,37.55
5/28/2015,37.25
5/29/2015,37.16
6/1/2015,37.23
6/2/2015,37.3
6/3/2015,37.57
6/4/2015,37.52
6/5/2015,37.09
6/8/2015,37.06
6/9/2015,37.1
6/10/2015,37.23
6/11/2015,37.13
6/12/2015,36.92
6/15/2015,37.01
6/16/2015,37.25
6/17/2015,37.31
6/18/2015,37.4
6/19/2015,37.38
6/22/2015,37.6
6/23/2015,37.59
6/24/2015,38.75
6/25/2015,38.3
6/26/2015,38.37
6/29/2015,37.54
6/30/2015,36.1
7/1/2015,35.99
7/2/2015,35.92
7/6/2015,35.68
7/7/2015,36.03
7/8/2015,36.05
7/9/2015,36
7/10/2015,36.05
7/13/2015,36.12
7/14/2015,36.17
7/15/2015,36.03
7/16/2015,36.14
7/17/2015,36.35
7/20/2015,36.27
7/21/2015,36.3
7/22/2015,36.22
7/23/2015,36.14
7/24/2015,36
7/27/2015,35.78
7/28/2015,36.02
7/29/2015,36.25
7/30/2015,36.06
7/31/2015,36.31
8/3/2015,36.27
8/4/2015,36.45
8/5/2015,36.76
8/6/2015,36.25
8/7/2015,36.93
8/10/2015,37.59
8/11/2015,37.97
8/12/2015,38.63
8/13/2015,38.52
8/14/2015,41.38
8/17/2015,41.15
8/18/2015,41.15
8/19/2015,40.96
8/20/2015,40.55
8/21/2015,39.7
8/24/2015,39.26
8/25/2015,39.04
8/26/2015,39.95
8/27/2015,40.3
8/28/2015,39.91
8/31/2015,39.87
9/1/2015,39.08
9/2/2015,39.77
9/3/2015,39.91
9/4/2015,39.57
9/8/2015,40.07
9/9/2015,39.6
9/10/2015,39.37
9/11/2015,39.95
9/14/2015,39.88
9/15/2015,39.46
9/16/2015,39.53
9/17/2015,39.51
9/18/2015,39.48
9/21/2015,39.85
9/22/2015,39.35
9/23/2015,39.45
9/24/2015,39.71
9/25/2015,39.73
9/28/2015,38.72
9/29/2015,38.93
9/30/2015,38.97
10/1/2015,38.61
10/2/2015,39.4
10/5/2015,40.21
10/6/2015,40.08
10/7/2015,40.56
10/8/2015,40.95
10/9/2015,40.93
10/12/2015,41.24
10/13/2015,41.24
10/14/2015,40.45
10/15/2015,40.79
10/16/2015,41.43
10/19/2015,41.42
10/20/2015,41.09
10/21/2015,41.54
10/22/2015,41.71
10/23/2015,41.76
10/26/2015,41.49
10/27/2015,41.63
10/28/2015,41.57
10/29/2015,41.79
10/30/2015,41.25
11/2/2015,41.04
11/3/2015,40.96
11/4/2015,40.79
11/5/2015,41.06
11/6/2015,40.93
11/9/2015,40.47
11/10/2015,40.53
11/11/2015,40.36
11/12/2015,40.22
11/13/2015,39.97
11/16/2015,40.59
11/17/2015,40.48
11/18/2015,41.15
11/19/2015,41.4
11/20/2015,40.92
11/23/2015,41.4
11/24/2015,41.32
11/25/2015,41.5
11/27/2015,41.55
11/30/2015,41.1
12/1/2015,41.04
12/2/2015,41.01
12/3/2015,40.51
12/4/2015,41.1
12/7/2015,41.07
12/8/2015,41.17
12/9/2015,41.13
12/10/2015,41.11
12/11/2015,40.91
12/14/2015,41.21
12/15/2015,41.14
12/16/2015,41.54
12/17/2015,41.25
12/18/2015,40.55
12/21/2015,40.86
12/22/2015,41.27
12/23/2015,41.55
12/24/2015,41.3
12/28/2015,41.51
12/29/2015,41.53
12/30/2015,41.46
12/31/2015,41
1/4/2016,40.61
1/5/2016,40.64
1/6/2016,40.19
1/7/2016,39.79
1/8/2016,39.8
1/11/2016,40.12
1/12/2016,40.7
1/13/2016,40.04
1/14/2016,40.13
1/15/2016,39.86
1/19/2016,39.96
1/20/2016,39.66
1/21/2016,39.4
1/22/2016,39.59
1/25/2016,39.1
1/26/2016,39.25
1/27/2016,39.31
1/28/2016,39.5
1/29/2016,39.81
2/1/2016,43.15
2/2/2016,42.79
2/3/2016,43.23
2/4/2016,43.44
2/5/2016,43.07
2/8/2016,43.12
2/9/2016,42.61
2/10/2016,42.71
2/11/2016,42.61
