Date,Close
1/7/2015,32.38
1/8/2015,31.67
1/9/2015,31.21
1/12/2015,28.01
1/13/2015,29.1
1/14/2015,30.12
1/15/2015,32.76
1/16/2015,34.03
1/20/2015,30.52
1/21/2015,30.94
1/22/2015,29.85
1/23/2015,30.95
1/26/2015,29.41
1/27/2015,30.03
1/28/2015,30.39
1/29/2015,30.03
1/30/2015,30.03
2/2/2015,29.52
2/3/2015,29.5
2/4/2015,29.48
2/5/2015,29.67
2/6/2015,29.85
2/9/2015,30.03
2/10/2015,30.76
2/11/2015,29.58
2/12/2015,29.67
2/13/2015,29.58
2/17/2015,29.12
2/18/2015,29.48
2/19/2015,29.48
2/20/2015,29.44
2/23/2015,30.03
2/24/2015,32.98
2/25/2015,43.75
2/26/2015,54.39
2/27/2015,49.35
3/2/2015,40.6
3/3/2015,39.9
3/4/2015,21.7
3/5/2015,20.86
3/6/2015,21
3/9/2015,23.1
3/10/2015,23.31
3/11/2015,23.66
3/12/2015,23.1
3/13/2015,22.75
3/16/2015,21.21
3/17/2015,19.32
3/18/2015,17.99
3/19/2015,19.53
3/20/2015,22.05
3/23/2015,25.34
3/24/2015,29.19
3/25/2015,29.61
3/26/2015,29.89
3/27/2015,32.06
3/30/2015,35.49
3/31/2015,35
4/1/2015,35.07
4/2/2015,31.22
4/6/2015,29.96
4/7/2015,30.17
4/8/2015,29.46
4/9/2015,31.08
4/10/2015,29.68
4/13/2015,28.42
4/14/2015,28.14
4/15/2015,27.23
4/16/2015,28.49
4/17/2015,29.05
4/20/2015,27.44
4/21/2015,27.51
4/22/2015,26.74
4/23/2015,30.8
4/24/2015,31.78
4/27/2015,32.2
4/28/2015,32.9
4/29/2015,32.9
4/30/2015,31.08
5/1/2015,32.55
5/4/2015,31.92
5/5/2015,31.57
5/6/2015,29.48
5/7/2015,30.1
5/8/2015,30.23
5/11/2015,31.22
5/12/2015,33.03
5/13/2015,32.13
5/14/2015,31.92
5/15/2015,31.71
5/18/2015,33.25
5/19/2015,31.5
5/20/2015,30.17
5/21/2015,31.01
5/22/2015,30.59
5/26/2015,30.1
5/27/2015,32.83
5/28/2015,32.55
5/29/2015,30.94
6/1/2015,31.43
6/2/2015,30.87
6/3/2015,30.46
6/4/2015,30.8
6/5/2015,30.41
6/8/2015,29.19
6/9/2015,28.42
6/10/2015,28
6/11/2015,28.35
6/12/2015,28.14
6/15/2015,28
6/16/2015,28.07
6/17/2015,27.3
6/18/2015,26.88
6/19/2015,25.06
6/22/2015,26.11
6/23/2015,26.53
6/24/2015,25.97
6/25/2015,25.55
6/26/2015,26.81
6/29/2015,25.13
6/30/2015,25.27
7/1/2015,23.17
7/2/2015,22.61
7/6/2015,21.35
7/7/2015,20.3
7/8/2015,18.55
7/9/2015,20.09
7/10/2015,19.88
7/13/2015,23.1
7/14/2015,23.52
7/15/2015,22.61
7/16/2015,21.35
7/17/2015,20.72
7/20/2015,20.65
7/21/2015,21.49
7/22/2015,26.39
7/23/2015,26.81
7/24/2015,27.16
7/27/2015,28.21
7/28/2015,29.4
7/29/2015,27.93
7/30/2015,25.9
7/31/2015,24.3
8/3/2015,26.46
8/4/2015,26.46
8/5/2015,29.47
8/6/2015,28.7
8/7/2015,25.55
8/10/2015,24.29
8/11/2015,24.85
8/12/2015,26.25
8/13/2015,25.55
8/14/2015,25.34
8/17/2015,24.71
8/18/2015,25.41
8/19/2015,24.92
8/20/2015,23.24
8/21/2015,21.21
8/24/2015,21.28
8/25/2015,21.49
8/26/2015,22.26
8/27/2015,21.77
8/28/2015,20.86
8/31/2015,20.79
9/1/2015,20.58
9/2/2015,20.79
9/3/2015,21.14
9/4/2015,21
9/8/2015,21.56
9/9/2015,22.26
9/10/2015,21.42
9/11/2015,22.19
9/14/2015,21.98
9/15/2015,22.26
9/16/2015,21.91
9/17/2015,22.05
9/18/2015,22.47
9/21/2015,22.05
9/22/2015,21.14
9/23/2015,21.14
9/24/2015,20.3
9/25/2015,20.16
9/28/2015,18.97
9/29/2015,18.55
9/30/2015,19.32
10/1/2015,19.39
10/2/2015,19.46
10/5/2015,20.37
10/6/2015,20.02
10/7/2015,19.74
10/8/2015,19.67
10/9/2015,19.39
10/12/2015,19.95
10/13/2015,20.02
10/14/2015,20.16
10/15/2015,20.09
10/16/2015,20.16
10/19/2015,20.54
10/20/2015,20.21
10/21/2015,19.46
10/22/2015,19.88
10/23/2015,20.02
10/26/2015,20.12
10/27/2015,20.3
10/28/2015,21.56
10/29/2015,22.75
10/30/2015,22.75
11/2/2015,23.38
11/3/2015,24.29
11/4/2015,24.5
11/5/2015,24.85
11/6/2015,22.33
11/9/2015,21.42
11/10/2015,19.95
11/11/2015,19.53
11/12/2015,20.44
11/13/2015,20.02
11/16/2015,20.16
11/17/2015,19.53
11/18/2015,19.46
11/19/2015,20.02
11/20/2015,20.3
11/23/2015,21.35
11/24/2015,20.72
11/25/2015,20.51
11/27/2015,21.35
11/30/2015,20.65
12/1/2015,20.44
12/2/2015,20.3
12/3/2015,20.02
12/4/2015,20.44
12/7/2015,20.23
12/8/2015,20.65
12/9/2015,20.16
12/10/2015,20.16
12/11/2015,19.53
12/14/2015,18.97
12/15/2015,19.67
12/16/2015,21.49
12/17/2015,21.07
12/18/2015,23.31
12/21/2015,25.13
12/22/2015,23.59
12/23/2015,24.15
12/24/2015,24.57
12/28/2015,24.01
12/29/2015,23.94
12/30/2015,24.78
12/31/2015,25.9
1/4/2016,25.83
1/5/2016,24.43
1/6/2016,23.03
1/7/2016,19.95
1/8/2016,20.16
1/11/2016,20.23
1/12/2016,19.46
1/13/2016,18.13
1/14/2016,17.57
1/15/2016,16.73
1/19/2016,17.57
1/20/2016,17.92
1/21/2016,17.99
1/22/2016,18.62
1/25/2016,18.69
1/26/2016,19.25
1/27/2016,18.97
1/28/2016,19.39
1/29/2016,19.95
2/1/2016,19.6
2/2/2016,19.32
2/3/2016,18.55
2/4/2016,19.11
2/5/2016,18.48
2/8/2016,17.5
2/9/2016,17.15
2/10/2016,17.15
2/11/2016,16.45
2/12/2016,16.03
2/16/2016,16.8
2/17/2016,17.01
2/18/2016,17.08
2/19/2016,16.87
2/22/2016,17.36
2/23/2016,16.24
2/24/2016,16.8
2/25/2016,16.87
2/26/2016,17.01
2/29/2016,17.08
3/1/2016,17.43
3/2/2016,19.32
3/3/2016,21
3/4/2016,20.51
3/7/2016,20.51
3/8/2016,20.65
3/9/2016,21.14
3/10/2016,20.65
3/11/2016,21.49
3/14/2016,21.35
3/15/2016,20.37
3/16/2016,19.53
3/17/2016,20.93
3/18/2016,20.37
3/21/2016,20.02
3/22/2016,21
3/23/2016,20.72
3/24/2016,20.72
3/28/2016,20.44
3/29/2016,20.3
3/30/2016,20.09
3/31/2016,19.39
4/1/2016,19.88
4/4/2016,19.53
4/5/2016,19.18
4/6/2016,18.83
4/7/2016,18.76
4/8/2016,18.41
4/11/2016,18.13
4/12/2016,17.64
4/13/2016,18.76
4/14/2016,18.2
4/15/2016,18.06
4/18/2016,17.64
4/19/2016,17.43
4/20/2016,18.55
4/21/2016,19.95
4/22/2016,21
4/25/2016,20.02
4/26/2016,19.67
4/27/2016,19.95
4/28/2016,19.39
4/29/2016,19.46
5/2/2016,19.11
5/3/2016,19.46
5/4/2016,18.69
5/5/2016,18.69
5/6/2016,18.76
5/9/2016,18.62
5/10/2016,18.93
5/11/2016,17.92
5/12/2016,16.94
5/13/2016,16.73
5/16/2016,16.73
5/17/2016,14.98
5/18/2016,14.28
5/19/2016,14.07
5/20/2016,14.42
5/23/2016,14.7
5/24/2016,14.77
5/25/2016,14.84
5/26/2016,15.68
5/27/2016,15.26
5/31/2016,16.31
6/1/2016,16.52
6/2/2016,17.36
6/3/2016,16.66
6/6/2016,15.68
6/7/2016,16.94
6/8/2016,16.52
6/9/2016,17.08
6/10/2016,16.52
6/13/2016,17.36
6/14/2016,17.5
6/15/2016,17.22
6/16/2016,16.73
6/17/2016,16.17
6/20/2016,15.82
6/21/2016,15.89
6/22/2016,17.22
6/23/2016,16.94
6/24/2016,16.66
6/27/2016,15.47
6/28/2016,15.89
6/29/2016,16.59
6/30/2016,16.31
7/1/2016,15.96
7/5/2016,15.75
7/6/2016,15.68
7/7/2016,15.57
7/8/2016,16.52
7/11/2016,16.52
7/12/2016,16.73
7/13/2016,16.52
7/14/2016,18.13
7/15/2016,17.99
7/18/2016,17.29
7/19/2016,17.85
7/20/2016,17.99
7/21/2016,18.34
7/22/2016,18.76
7/25/2016,19.95
7/26/2016,20.65
7/27/2016,19.38
7/28/2016,19.74
7/29/2016,20.3
8/1/2016,21.21
8/2/2016,22.68
8/3/2016,22.68
8/4/2016,21.91
8/5/2016,23.03
8/8/2016,22.89
8/9/2016,21.49
8/10/2016,19.95
8/11/2016,19.6
8/12/2016,19.46
8/15/2016,19.6
8/16/2016,20.3
8/17/2016,20.86
8/18/2016,21.14
8/19/2016,20.65
8/22/2016,20.16
8/23/2016,20.44
8/24/2016,20.37
8/25/2016,20.65
8/26/2016,20.23
8/29/2016,20.58
8/30/2016,20.58
8/31/2016,20.27
9/1/2016,20.09
9/2/2016,20.16
9/6/2016,19.88
9/7/2016,20.02
9/8/2016,20.34
9/9/2016,19.6
9/12/2016,19.25
9/13/2016,18.34
9/14/2016,18.48
9/15/2016,18.55
9/16/2016,17.57
9/19/2016,17.92
9/20/2016,17.99
9/21/2016,18.41
9/22/2016,18.48
9/23/2016,17.99
9/26/2016,17.64
9/27/2016,18.06
9/28/2016,18.13
9/29/2016,17.78
9/30/2016,17.99
10/3/2016,18.13
10/4/2016,18.13
10/5/2016,18.2
10/6/2016,19.67
10/7/2016,20.44
10/10/2016,20.44
10/11/2016,19.81
10/12/2016,20.09
10/13/2016,20.23
10/14/2016,21
10/17/2016,21.35
10/18/2016,21
10/19/2016,21.21
10/20/2016,21.21
10/21/2016,21.07
10/24/2016,20.86
10/25/2016,21.07
10/26/2016,21.14
10/27/2016,21.77
10/28/2016,22.4
10/31/2016,22.19
11/1/2016,21.7
11/2/2016,20.02
11/3/2016,20.58
11/4/2016,20.44
11/7/2016,20.93
11/8/2016,21.49
11/9/2016,20.09
11/10/2016,15.12
11/11/2016,16.72
11/14/2016,15.89
11/15/2016,16.17
11/16/2016,16.66
11/17/2016,16.73
11/18/2016,16.73
11/21/2016,16.66
11/22/2016,16.24
11/23/2016,16.17
11/25/2016,16.31
11/28/2016,16.24
11/29/2016,15.82
11/30/2016,15.68
12/1/2016,15.19
12/2/2016,15.21
12/5/2016,15.75
12/6/2016,16.24
12/7/2016,15.89
12/8/2016,15.61
12/9/2016,15.75
12/12/2016,15.33
12/13/2016,15.24
12/14/2016,14.63
12/15/2016,14.28
12/16/2016,13.86
12/19/2016,13.72
12/20/2016,14.42
12/21/2016,14.07
12/22/2016,14.14
12/23/2016,14.49
12/27/2016,14.35
12/28/2016,14.21
12/29/2016,14.07
12/30/2016,14
1/3/2017,13.87
1/4/2017,14.07
1/5/2017,14.28
1/6/2017,14.42
1/9/2017,14.35
1/10/2017,15.05
1/11/2017,15.26
1/12/2017,15.62
1/13/2017,15.4
1/17/2017,15.26
1/18/2017,15.26
1/19/2017,14.91
1/20/2017,15.54
1/23/2017,15.12
1/24/2017,15.12
1/25/2017,14.77
1/26/2017,14.56
1/27/2017,14.63
1/30/2017,14.42
1/31/2017,13.86
2/1/2017,14.21
2/2/2017,14.84
2/3/2017,15.19
2/6/2017,14.77
2/7/2017,14.77
2/8/2017,14.42
2/9/2017,14.49
2/10/2017,14.56
2/13/2017,14.7
2/14/2017,15.12
2/15/2017,15.05
2/16/2017,14.84
2/17/2017,15.05
2/21/2017,15.26
2/22/2017,14.91
2/23/2017,14.35
2/24/2017,14.28
2/27/2017,14.21
2/28/2017,13.79
3/1/2017,13.58
3/2/2017,13.51
3/3/2017,13.3
3/6/2017,12.18
3/7/2017,11.9
3/8/2017,12.18
3/9/2017,12.25
3/10/2017,11.9
3/13/2017,10.71
3/14/2017,10.5
3/15/2017,10.57
3/16/2017,10.29
3/17/2017,9.45
3/20/2017,10.01
3/21/2017,9.38
3/22/2017,9.24
3/23/2017,9.45
3/24/2017,9.38
3/27/2017,9.8
3/28/2017,9.66
3/29/2017,10.5
3/30/2017,10.57
3/31/2017,10.64
4/3/2017,10.5
4/4/2017,10.71
4/5/2017,10.43
4/6/2017,10.71
4/7/2017,10.78
4/10/2017,11.06
4/11/2017,10.99
4/12/2017,10.78
4/13/2017,10.15
4/17/2017,10.22
4/18/2017,10.22
4/19/2017,10.08
4/20/2017,10.22
4/21/2017,10.29
4/24/2017,10.01
4/25/2017,10.08
4/26/2017,10.08
4/27/2017,10.08
4/28/2017,9.8
5/1/2017,9.45
5/2/2017,9.59
5/3/2017,9.45
5/4/2017,9.17
